Date_Stamp,Time_Stamp,Server_Alpha_Status,Server_Numerical_Status
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:06:59,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:00,server down,0
2019-12-13,13:07:01,server down,0
2019-12-13,13:07:01,server down,0
2019-12-13,13:07:01,server down,0
2019-12-13,13:07:01,server down,0
2019-12-14,11:15:43,server down,0
2019-12-14,11:16:16,server down,0
2019-12-14,11:18:04,server up,1
2019-12-14,11:18:04,server up,1
2019-12-14,11:18:12,server up,1
2019-12-14,11:18:21,server up,1
2019-12-14,12:32:21,server up,1
2019-12-14,12:32:57,server up,1
2019-12-14,12:32:57,server up,1
2019-12-14,12:32:58,server up,1
2019-12-14,12:32:59,server up,1
2019-12-14,12:32:59,server up,1
2019-12-14,12:33:00,server up,1
2019-12-14,12:33:00,server up,1
2019-12-14,12:33:01,server up,1
2019-12-14,12:33:02,server up,1
2019-12-14,12:33:02,server up,1
2019-12-14,12:33:03,server up,1
2019-12-14,12:33:04,server up,1
2019-12-14,12:33:05,server up,1
2019-12-14,12:33:06,server up,1
2019-12-14,12:33:06,server up,1
